abaga	ʔʌbagʌ
dalan	d̪al̪ʌn̪
dalan	d̪an̪
dali	d̪ʌl̪iʔ
dalikdik	d̪ʌl̪ikd̪ɪk
dalo	d̪ʌl̪oʔ
dalugdog	d̪ʌl̪ugd̪ɔg
dalunggan	d̪ʊŋgan̪
dalunggan	d̪ʌl̪ʊŋgan̪
dalunggan	d̪ʌwŋgan̪
damay	d̪amaɪ̯
damgo	d̪amgɔ
dampog	d̪ʌmpog
danaw	d̪an̪aʊ̯
dangaw	d̪aŋaʊ̯
danggit	d̪ʌŋgit̪
danilo	d̪ʌn̪il̪ɔ
daog	d̪ʌʔog
daot	d̪aʔɔt̪
daot	d̪ʌʔot̪
daotan	d̪ʌʔot̪ʌn̪
daro	d̪aɾ̪ɔ
daster	d̪as̪t̪ɪɾ̪
dato	d̪at̪ɔʔ
dawa	d̪awʌ
dawende	d̪ʌwin̪d̪ɪ
dawugdog	d̪ʌwugd̪ɔg
dayap	d̪ajʌp
dayeg	d̪ajɪg
dayo	d̪adʒɔ
dayo	d̪ajɔ
deboto	d̪ɪbot̪ɔ
dedbol	d̪id̪bɔl̪
dekada	d̪ɪkad̪ʌ
dekorar	d̪ɪkɔɾ̪aɾ̪
dekorasyon	d̪ɪkɔɾ̪ʌs̪jon̪
delikado	d̪ɪl̪ɪkad̪ɔ
deliryo	d̪ɪl̪iɾ̪jɔ
denotasyon	d̪ɪn̪ɔt̪ʌs̪jon̪
desisyon	d̪ɪs̪ɪs̪jon̪
desperado	d̪ɪs̪pɪɾ̪ad̪ɔ
detalye	d̪ɪt̪al̪jɪ
determinasyon	d̪ɪt̪ɪɾ̪mɪn̪ʌs̪jon̪
dewende	d̪ɪwin̪d̪ɪ
diaz	d̪iʌs̪
diin	d̪iʔɪn̪
diksyonaryo	d̪ɪks̪jɔn̪aɾ̪jɔ
dila	d̪il̪ʌʔ
dili	d̪ɪl̪i
dinhi	d̪ɪŋhi
diriyot	d̪ɪɾ̪jot̪
disenteriya	d̪ɪs̪ɪn̪t̪ɪɾ̪iʌ
diskuwento	d̪ɪs̪kwin̪t̪ɔ
disposisyon	d̪ɪs̪pɔs̪ɪs̪jon̪
disyembre	d̪ɪs̪jimbɾ̪ɪ
dita	d̪ɪt̪aʔ
divinagracia	d̪ɪbɪn̪ʌgɾ̪as̪jʌ
diwa	d̪iwʌʔ
diyakono	d̪jakɔn̪o
diyos	d̪jos̪
diyot	d̪jot̪
diyotay	d̪ɪjɔt̪aɪ̯
diyutay	d̪jʊt̪aɪ̯
dodong	d̪od̪ɔŋ
dolongan	d̪ɔl̪oŋʌn̪
domeng	d̪omɪŋ
dominggo	d̪ɔmiŋgɔ
dribol	d̪ɾ̪ibɔl̪
duganganan	d̪ʊgʌŋan̪ʌn̪
dugay	d̪ugaɪ̯
dugdog	d̪ugd̪ɔg
dughan	d̪ʊghan̪
dughit	d̪ughɪt̪
dugo	d̪ʊgoʔ
dugos	d̪ugɔs̪
dugta	d̪ugt̪ʌʔ
duha	d̪ʊha
duhaylungsod	d̪ʊhaɪ̯l̪ʊŋs̪od̪
dukesa	d̪ʊkis̪ʌ
duko	d̪ʊkoʔ
dukot	d̪ʊkot̪
dula	d̪ul̪ʌʔ
dula	d̪uʌʔ
dulaan	d̪waʔʌn̪
dulaan	d̪ʊl̪aʔʌn̪
dulok	d̪ul̪ɔk
dulom	d̪ʊl̪om
dulon	d̪ujɔn̪
dulon	d̪ul̪ɔn̪
dulon	d̪uwn̪
dulondulon	d̪ʊl̪ɔn̪d̪ul̪ɔn̪
dulot	d̪ul̪ɔt̪
dulot	d̪ʊl̪ot̪
dulse	d̪ul̪s̪ɪ
dumaguete	d̪ʊmʌgit̪ɪ
dumala	d̪ʊmal̪ʌ
dumanjug	d̪ʊmʌŋhug
dumog	d̪umɔg
dunggab	d̪uŋgʌb
dunggan	d̪uŋgʌn̪
dunggo	d̪ʊŋgoʔ
dunggoan	d̪ʊŋgoʔʌn̪
dunggoanan	d̪ʊŋgɔʔan̪ʌn̪
dungog	d̪uŋɔg
duot	d̪ʊʔot̪
duran	d̪ʊɾ̪an̪
dusmo	d̪ʊs̪moʔ
dusmog	d̪ʊs̪mog
duso	d̪ʊs̪oʔ
duterte	d̪ʊt̪iɾ̪t̪ɪ
duwa	d̪uʌʔ
dyambol	dʒambɔl̪
dyanitor	d̪jan̪ɪt̪oɾ̪
dyip	d̪jip
edukado	ʔɪd̪ʊkad̪ɔ
edukasyon	ʔɪd̪ʊkʌs̪jon̪
eguia	ʔɪgiʌ
ekek	ʔikɪk
ekipahe	ʔɪkɪpahɪ
eklipse	ʔɪkl̪ips̪ɪ
eksakto	ʔɪks̪akt̪ɔ
eksorsismo	ʔiks̪ɔɾ̪s̪is̪mɔ
eksplikar	ʔɪks̪pl̪ɪkaɾ̪
ektarya	ʔɪkt̪aɾ̪jʌ
elegante	ʔɪl̪ɪgan̪t̪ɪ
eleksyon	ʔɪl̪ɪks̪jon̪
elektrisyan	ʔɪl̪ɪkt̪ɾ̪is̪jʌn̪
elementarya	ʔɪl̪ɪmɪn̪t̪aɾ̪jʌ
elepante	ʔɪl̪ɪpan̪t̪ɪ
eliminasyon	ʔɪl̪ɪmɪn̪ʌs̪jon̪
elpidio	ʔɪl̪pid̪jɔ
embutido	ʔɪmbʊt̪id̪ɔ
empleyada	ʔɪmpl̪jad̪ʌ
empleyado	ʔɪmpl̪jad̪ɔ
enero	ʔɪn̪iɾ̪ɔ
engkanto	ʔɪŋkan̪t̪ɔ
engrande	ʔɪŋgɾ̪an̪d̪ɪ
entablado	ʔɪn̪t̪ʌbl̪ad̪ɔ
ermat	ʔiɾ̪mʌt̪
eroplano	ʔɪɾ̪ɔpl̪an̪ɔ
erpat	ʔiɾ̪pʌt̪
escaño	ʔɪs̪kaɲɔ
eskedyul	ʔɪs̪kid̪jʊl̪
eskina	ʔɪs̪kin̪ʌ
eskobilyo	ʔɪs̪kɔbil̪jɔ
eskultor	ʔɪs̪kʊl̪t̪oɾ̪
eskuwela	ʔɪs̪kwil̪ʌ
eskuwelahan	ʔɪs̪kwɪl̪ʌhan̪
esmagol	ʔɪs̪magɔl̪
espanyol	ʔɪs̪pʌn̪jol̪
espeho	ʔɪs̪pihɔ
espirito	ʔɪs̪piɾ̪ɪt̪ɔ
espiritohanon	ʔɪs̪pɪɾ̪ɪt̪ɔhan̪ɔn̪
espiritu	ʔɪs̪piɾ̪ɪt̪ʊ
espirituhanon	ʔɪs̪pɪɾ̪ɪt̪ʊhan̪ɔn̪
espiya	ʔɪs̪piʌ
espongha	ʔɪs̪poŋhʌ
estatuwa	ʔɪs̪t̪at̪wa
estillore	ʔɪs̪t̪ɪl̪joɾ̪ɪ
estorya	ʔɪs̪t̪oɾ̪jʌ
estrella	ʔɪs̪t̪ɾ̪il̪jʌ
estudyante	ʔɪs̪t̪ʊd̪jan̪t̪ɪ
estupido	ʔɪs̪t̪ʊpid̪ɔ
eulogia	ʔiʊ̯l̪ohɪʌ
fabillar	pʌbɪl̪jaɾ̪
fernando	pɪɾ̪n̪an̪d̪ɔ
flores	pl̪oɾ̪ɪs̪
formentera	pɔɾ̪mɪn̪t̪iɾ̪ʌ
francisco	pɾ̪ʌn̪s̪is̪kɔ
fuentes	pwin̪t̪ɪs̪
gaak	gʌʔak
gaan	gʌʔan̪
gaba	gabʌ
gabi	gabɪ
gabii	gʌbɪʔi
gading	gad̪ɪŋ
gadya	gʌd̪jaʔ
gahi	gahɪʔ
gahom	gahɔm
gajod	gʌdʒod̪
gallardo	gʌl̪jaɾ̪d̪ɔ
galon	gʌl̪on̪
gamay	gʌmaɪ̯
gamot	gʌmot̪
gamotpulong	gʌmot̪pʊl̪oŋ
gana	gan̪ʌ
ganahan	gʌn̪ahʌn̪
ganansiya	gʌn̪an̪s̪ja
gang	gaŋ
ganggang	gaŋgʌŋ
ganggang	gʌŋgaŋ
gango	gaŋɔ
gani	gan̪ɪʔ
gapas	gapʌs̪
garahe	gʌɾ̪ahɪ
garcia	gʌɾ̪s̪iʌ
garing	gʌɾ̪iŋ
garo	gʌɾ̪oʔ
gasolina	gʌs̪ɔl̪in̪ʌ
gasolinahan	gʌs̪ɔl̪ɪn̪ʌhan̪
gatas	gat̪ʌs̪
gatos	gʌt̪os̪
gawas	gʌwas̪
gayod	dʒʊd̪
gayod	gjʊd̪
gayod	gʌdʒod̪
gayod	gʌjod̪
gayon	gʌdʒon̪
gayon	gʌjon̪
genaro	hɪn̪aɾ̪ɔ
getafe	hɪt̪apɪ
gigikanan	gɪgɪkan̪ʌn̪
gikalag	gɪkag
gikalag	gɪkʌjag
gikalag	gɪkʌl̪ag
gikan	gikʌn̪
gilayon	gɪl̪ʌjon̪
gingharian	gɪŋhʌɾ̪iʔʌn̪
ginhawa	gɪŋhawʌ
ginikanan	gɪn̪ɪkan̪ʌn̪
ginisal	gɪn̪ɪs̪al̪
ginunting	gɪn̪ʊn̪t̪iŋ
ginuntingan	gɪn̪ʊn̪t̪iŋʌn̪
gira	giɾ̪ʌ
gisa	gis̪ʌʔ
gisa	gɪs̪a
gisado	gɪs̪ad̪ɔ
gisal	gɪs̪al̪
gisi	gis̪ɪʔ
gitara	gɪt̪aɾ̪ʌ
giti	git̪ɪʔ
glorya	gl̪oɾ̪jʌ
golosino	gɔl̪ɔs̪in̪ɔ
gomez	gomɪs̪
gonzaga	gɔn̪s̪agʌ
gorgonio	gɔɾ̪gon̪jɔ
goryo	goɾ̪jɔ
graba	gɾ̪abʌ
guba	gʊbaʔ
gubat	gubʌt̪
gubot	gubɔt̪
gubot	gʊbot̪
gugma	gugmʌ
guindulman	gɪn̪d̪ʊl̪man̪
guiuan	giwʌn̪
gulaman	gʊl̪amʌn̪
gumamela	gʊmʌmil̪ʌ
guna	gun̪ʌ
guno	gʊn̪oʔ
gunting	gun̪t̪ɪŋ
guot	guʔɔt̪
gusok	gus̪ɔk
gutang	gʊt̪aŋ
gutlo	gʊt̪l̪oʔ
gutom	gut̪ɔm
gutom	gʊt̪om
guwapa	gwapʌ
guwapo	gwapɔ
guyabano	gʊjʌban̪ɔ
guyod	gujɔd̪
guzman	gʊs̪man̪
gwapa	gwʌpʌ
gwapo	gwʌpɔ
gyud	gjʊd̪
habagat	hʌbagʌt̪
habagatan	hʌbʌgat̪ʌn̪
habal	habʌl̪
habol	hʌbol̪
hagdan	hʌgd̪an̪
hagdanan	hʌgd̪an̪ʌn̪
hagnaya	hʌgn̪ajʌ
hagok	hagɔk
hagtok	hagt̪ɔk
hakog	hʌkog
halang	hal̪ʌŋ
halas	hal̪ʌs̪
halimaw	hʌl̪imaʊ̯
halingan	hʌl̪iŋʌn̪
halok	hʌl̪ok
halwa	hal̪wʌ
hambog	hʌmbog
hambogera	hʌmbɔgiɾ̪ʌ
hambogero	hʌmbɔgiɾ̪ɔ
hampang	hampʌŋ
hamugaway	hʌmʊgawaɪ̯
hanas	hʌn̪as̪
hang	haŋ
hangad	hʌŋad̪
hangga	haŋgʌʔ
hangin	haŋɪn̪
hangol	hʌŋol̪
hantak	han̪t̪ʌk
hanting	han̪t̪ɪŋ
hardin	hʌɾ̪d̪in̪
hari	haɾ̪ɪʔ
harianon	hʌɾ̪ɪʔan̪ɔn̪
harina	hʌɾ̪in̪ʌ
hasang	has̪ʌŋ
hasler	has̪l̪ɪɾ̪
hatag	hat̪ʌg
hatdog	hat̪d̪ɔg
hatod	hʌt̪od̪
hawak	hawʌk
hawok	hʌwok
hayag	hajʌg
hayahay	hʌjahaɪ̯
hayop	hajɔp
helikopter	hɪl̪ɪkopt̪ɪɾ̪
hepa	hipʌ
hepe	hipɪ
heringgilya	hɪɾ̪ɪŋgil̪jʌ
hesusmaryosep	hɪs̪ʊs̪mʌɾ̪jos̪ɪp
hibalo	hɪbʌl̪o
hibi	hibɪ
higala	hɪgal̪ʌ
higante	hɪgan̪t̪ɪ
higayon	hɪgʌdʒon̪
higayon	hɪgʌjon̪
higda	hɪgd̪aʔ
higdaanan	hɪgd̪ʌʔan̪ʌn̪
higot	hɪgot̪
hikog	hikɔg
hikot	hikɔt̪
hilanat	hɪl̪ʌn̪at̪
hilaw	hɪl̪aʊ̯
hilawas	hɪl̪awʌs̪
hilig	hil̪ɪg
hilo	hil̪ɔ
hilo	hɪl̪o
hilom	hil̪ɔm
hilomon	hɪl̪omɔn̪
hilot	hil̪ɔt̪
himalad	hɪmal̪ʌd̪
himantayon	hɪmʌn̪t̪ajɔn̪
himasa	hɪmas̪ʌ
himasa	hɪmʌs̪aʔ
hinabang	hɪn̪abʌŋ
hinagiban	hɪn̪ʌgɪban̪
hinay	hin̪aɪ̯
hingatulog	hɪŋʌt̪ul̪ɔg
hingaw	hɪŋaʊ̯
hinginom	hɪŋʔɪn̪om
hingugmo	hɪŋʊgmo
hinguha	hɪŋuhʌʔ
hinguko	hɪŋukɔ
hinguto	hɪŋut̪ɔ
hinigugma	hɪn̪ɪgʊgmaʔ
hinog	hɪn̪og
hinudas	hɪn̪ud̪ʌs̪
hinumdom	hɪn̪umd̪ɔm
hinungdan	hɪn̪ʊŋd̪an̪
hipon	hipɔn̪
hipos	hipɔs̪
hisgot	hɪs̪got̪
hisoler	hɪs̪ɔl̪iɾ̪
hita	hit̪ʌʔ
hito	hit̪ɔʔ
hitsura	hɪtsuɾ̪ʌ
honda	hon̪d̪ʌ
hopia	hopjʌʔ
hopya	hopjʌʔ
hospital	hos̪pɪt̪al̪
hubad	hʊbad̪
hubag	hʊbag
hubak	hubʌk
hubakon	hʊbakɔn̪
hubas	hʊbas̪
hubo	hʊboʔ
hubog	hʊbog
hubon	hʊbon̪
hudas	hud̪ʌs̪
hudyo	hʊd̪jo
hugas	hugʌs̪
hugaw	hugaʊ̯
hukom	hʊkom
hula	hul̪ʌ
hulagway	hʊl̪ʌgwaɪ̯
hulam	hʊl̪am
hulat	hʊat̪
hulat	hʊl̪at̪
hulay	hul̪aɪ̯
hulbot	hʊgkot̪
hulga	holgɐʔ
hulhol	hʊl̪hol̪
hulog	hul̪ɔg
hulyo	hul̪jɔ
humok	humɔk
humot	hʊmot̪
hunas	hʊn̪as̪
hungit	huŋɪt̪
hunyo	hun̪jɔ
huot	huʔɔt̪
huramentado	hʊɾ̪ʌmɪn̪t̪ad̪ɔ
hurisdiksiyon	hʊɾ̪ɪs̪d̪ɪks̪jon̪
husay	hus̪aɪ̯
husgado	hʊs̪gad̪ɔ
huwad	hʊad̪
huwam	hʊam
huwat	hʊat̪
huwebes	hʊwibɪs̪
huyang	hujʌŋ
huybes	huɪbɪs̪
huyop	hʊjop
huyuhoy	hʊjuhoɪ̯
ibabaw	ʔɪbabaʊ̯
ibarra	ʔɪbaɾ̪ʌ
ibañez	ʔɪbaɲɪs̪
ideyolohiya	ʔɪd̪ɪjɔl̪ɔhiʌ
ido	ʔid̪ɔʔ
igbaw	ʔɪgbaʊ̯
iglesya	ʔɪgl̪is̪jʌ
ignorante	ʔɪgn̪ɔɾ̪an̪t̪ɪ
igot	ʔigɔt̪
igso	ʔɪgs̪oʔ
ihag	ʔihʌg
ihalas	ʔɪhʌl̪as̪
ihas	ʔɪhas̪
ihi	ʔihɪʔ
iho	ʔihɔ
ija	ʔɪdʒa
ikaw	ʔɪkaʊ̯
ikog	ʔikɔg
ila	ʔil̪ʌ
ilad	ʔɪl̪ad̪
ilaga	ʔɪl̪ʌgaʔ
iling	ʔɪl̪iŋ
ilo	ʔil̪ɔ
ilo	ʔɪl̪o
iloilo	ʔɪl̪ojl̪ɔ
ilok	ʔil̪ɔk
ilusyon	ʔɪl̪ʊs̪jon̪
imahe	ʔɪmahɪ
imbes	ʔɪmbis̪
imbestigar	ʔɪmbɪs̪t̪igʌɾ̪
imbestigasyon	ʔɪmbɪs̪t̪ɪgʌs̪jon̪
imbitar	ʔɪmbɪt̪aɾ̪
imburnal	ʔɪmbʊɾ̪n̪al̪
imo	ʔimɔ
impakto	ʔɪmpakt̪ɔ
impeksyon	ʔɪmpɪks̪jon̪
implementar	ʔɪmpl̪ɪmɪn̪t̪aɾ̪
implikar	ʔɪmpl̪ɪkaɾ̪
implikasyon	ʔɪmpl̪ɪkʌs̪jon̪
importansiya	ʔɪmpɔɾ̪t̪an̪s̪ja
importansya	ʔɪmpɔɾ̪t̪an̪s̪jʌ
ina	ʔɪn̪a
inabanga	ʔɪn̪ʌbaŋgʌ
inadlawan	ʔin̪ad̪l̪ʌwʌn̪
inadlawan	ʔɪn̪ʌd̪l̪awʌn̪
inahan	ʔɪn̪ahʌn̪
inaon	ʔɪn̪ʌʔon̪
inday	ʔɪn̪d̪aɪ̯
indibidwal	ʔɪn̪d̪ɪbɪd̪wal̪
indulhensiya	ʔɪn̪d̪ʊl̪hin̪s̪jʌ
inga	ɪŋʌʔ
ingrato	ʔɪŋgɾ̪at̪ɔ
inilokano	ʔɪn̪ɪl̪ɔkan̪ɔ
iningles	ʔɪn̪ɪŋgl̪is̪
ininsik	ʔɪn̪ɪn̪s̪ik
init	ʔin̪ɪt̪
inkulkasyon	ʔɪŋkʊl̪kʌs̪jon̪
inom	ʔɪn̪om
inosente	ʔɪn̪ɔs̪in̪t̪ɪ
insenso	ʔɪn̪s̪in̪s̪ɔ
instruksyon	ʔɪn̪s̪t̪ɾ̪ʊks̪jon̪
insulto	ʔɪn̪s̪ul̪t̪ɔ
insumniyalak	ʔɪn̪s̪umn̪jal̪ʌk
internasyonal	ʔɪn̪t̪ɪɾ̪n̪ʌs̪jɔn̪al̪
inunlan	ʔɪn̪ʊn̪l̪an̪
inyo	ʔin̪jɔ
ipil	ʔipɪl̪
ipos	ʔipɔs̪
irigasyon	ʔɪɾ̪ɪgʌs̪jon̪
iring	ʔɪɾ̪iŋ
iro	ʔiɾ̪ɔʔ
isda	ʔɪs̪d̪aʔ
isi	ʔis̪ɪ
isigkatawo	ʔɪs̪ɪgkʌʔiŋɔn̪
isip	ʔis̪ɪp
isko	ʔɪs̪koʔ
isla	ʔis̪l̪ʌ
isog	ʔis̪ɔg
itik	ʔit̪ɪk
itlog	ʔɪt̪l̪og
ito	ʔit̪ɔʔ
itsura	ʔɪt̪s̪uɾ̪ʌ
iya	ʔɪa
iya	ʔɪdʒa
iyaha	ʔɪahʌ
iyot	ʔijɔt̪
jagna	hagn̪ʌ
jakol	dʒʌkol̪
jimenez	hɪmin̪ɪs̪
jose	hɔs̪i
jud	dʒʊd̪
jumawan	hʊmawʌn̪
kaajo	kʌʔadʒɔ
kaanyag	kʌʔʌn̪jag
kaaslom	kʌʔʌs̪l̪om
kaaway	kʌʔawaɪ̯
kaayo	kʌʔajɔ
kabakaba	kʌbakʌba
kabanga	kʌbʌŋa
kabankalan	kʌbʌŋkʌl̪an̪
kabata	kʌbat̪ʌʔ
kabaw	kabaʊ̯
kabayo	kʌbajɔ
kabit	kʌbit̪
kabkab	kabkab
kabo	kabɔ
kabo	kabɔʔ
kabog	kʌbog
kabuang	kʌbuʔʌŋ
kadagatan	kʌd̪ʌgat̪ʌn̪
kadagkoan	kʌd̪ʌgkɔʔan̪
kadiyot	kʌd̪jot̪
kadto	kad̪t̪ɔ
kadugo	kad̪ʊgoʔ
kadula	kʌd̪ul̪ʌʔ
kaeskuyla	kʌʔɪs̪kuɪl̪ʌ
kagabhion	kʌgʌbhiʔɔn̪
kagabii	kʌgʌbɪʔi
kagahapon	kʌgʌhapɔn̪
kagaw	kagaʊ̯
kagawasan	kʌgʌwas̪ʌn̪
kagibuhi	kʌgɪbuhɪʔ
kagutom	kʌgut̪ɔm
kagwapa	kʌgwapʌ
kagwapo	kʌgwapɔ
kahibalo	kʌhɪbʌl̪o
kahoy	kahoɪ̯
kahoyan	kʌhɔjan̪
kahubog	kʌhʊbog
kahumot	kʌhʊmot̪
kahusayan	kʌhʊs̪ajʌn̪
kaisog	kʌʔis̪ɔg
kajo	kadʒɔ
kakahoyan	kʌkʌhojʌn̪
kakaw	kʌkaʊ̯
kalabasa	kʌl̪ʌbas̪ʌ
kalabera	kʌl̪ʌbiɾ̪ʌ
kalag	kag
kalag	kʌl̪ag
kalainan	kʌl̪ʌʔin̪ʌn̪
kalamansi	kʌl̪ʌmʌn̪s̪iʔ
kalamboan	kʌl̪ʌmbɔʔan̪
kalambre	kʌl̪ambɾ̪ɪ
kalangitan	kʌl̪ʌŋit̪ʌn̪
kalasag	kas̪ʌg
kalasag	kʌl̪as̪ʌg
kalaskas	kʌl̪ʌs̪kas̪
kalatkat	kʌl̪at̪kʌt̪
kalayo	kadʒɔ
kalayo	kajɔ
kalayo	kʌjajɔ
kalayo	kʌl̪ajɔ
kalayo	kʌl̪ʌdʒoʔ
kalayo	kʌl̪ʌjoʔ
kaldero	kʌl̪d̪iɾ̪ɔ
kalentura	kʌl̪ɪn̪t̪uɾ̪ʌ
kalibang	kʌl̪ɪbaŋ
kalibangan	kʌl̪ɪbaŋʌn̪
kalibotan	kʌl̪ɪbot̪ʌn̪
kalihim	kʌl̪ihɪm
kalinaw	kʌl̪in̪aʊ̯
kalingawan	kʌl̪ɪŋawʌn̪
kalipay	kʌl̪ipaɪ̯
kalis	kal̪ɪs̪
kaliwatan	kʌl̪ɪwat̪ʌn̪
kalo	kal̪ɔʔ
kalos	kal̪ɔs̪
kalos	kaws̪
kalsada	kʌl̪s̪ad̪ʌ
kaluha	kʌl̪ʊha
kaluhaan	kaʊ̯haʔʌn̪
kaluhaan	kʌl̪ʊhaʔʌn̪
kaluhaan	kʌwhaʔʌn̪
kalundan	kʌl̪ʊn̪d̪an̪
kaluoy	kʌl̪uʔoɪ̯
kamagong	kʌmʌgoŋ
kamalig	kʌmal̪ɪg
kamangyan	kʌmaŋjʌn̪
kamantigi	kʌmʌn̪t̪ɪgi
kamao	kʌmaʔɔ
kamatayon	kʌmʌt̪adʒɔn̪
kamatayon	kʌmʌt̪ajɔn̪
kamatis	kʌmat̪ɪs̪
kamatuoran	kʌmʌt̪ʊʔoɾ̪ʌn̪
kamatyonon	kʌmʌt̪jon̪ɔn̪
kambras	kambɾ̪ʌs̪
kami	kʌmi
kamkam	kʌmkam
kamlas	kaml̪ʌs̪
kamo	kʌmo
kamot	kʌmot̪
kamote	kʌmot̪ɪ
kampana	kʌmpan̪ʌʔ
kampanaryo	kʌmpʌn̪aɾ̪jɔ
kampanilya	kʌmpʌn̪il̪jʌ
kamras	kʌmɾ̪as̪
kamunggay	kʌmʊŋgaɪ̯
kamuning	kʌmʊn̪iŋ
kandila	kʌn̪d̪il̪ʌ
kanding	kʌn̪d̪iŋ
kang	kaŋ
kangurulsol	kʌŋʊɾ̪ul̪s̪ɔl̪
kanibalismo	kʌn̪ɪbʌl̪is̪mɔ
kansiyon	kʌn̪s̪jon̪
kanta	kʌn̪t̪a
kanto	kan̪t̪ɔ
kanunay	kʌn̪un̪aɪ̯
kanyon	kʌn̪jon̪
kaon	kaʔɔn̪
kapait	kʌpʌit̪
kapalaran	kʌpʌl̪aɾ̪ʌn̪
kapay	kʌpaɪ̯
kapayas	kʌpajʌs̪
kapinyahan	kʌpɪn̪jahʌn̪
kapitalismo	kʌpɪt̪ʌl̪is̪mɔ
kapitalista	kʌpɪt̪ʌl̪is̪t̪ʌ
kapitolyo	kʌpɪt̪ol̪jɔ
kapoy	kapoɪ̯
kapuloan	kʌpʊl̪ɔʔan̪
kapunawan	kʌpʊn̪awʌn̪
kaputol	kʌput̪ɔl̪
karaan	kʌɾ̪aʌn̪
karaho	kʌɾ̪ahɔ
karbon	kʌɾ̪bon̪
kargaburo	kʌɾ̪gʌbuɾ̪ɔ
kargador	kʌɾ̪gʌd̪oɾ̪
karinyo	kʌɾ̪in̪jɔ
karmelitos	kʌɾ̪mɪl̪it̪ɔs̪
karnabal	kʌɾ̪n̪ʌbal̪
karnero	kʌɾ̪n̪iɾ̪ɔ
karon	kʌɾ̪on̪
karpet	kaɾ̪pɪt̪
karsada	kʌɾ̪s̪ad̪ʌ
karwahe	kʌrwahɪ
kasadpan	kʌs̪ad̪pʌn̪
kasag	kʌs̪ag
kasambagan	kʌs̪ʌmbʌgan̪
kasili	kʌs̪il̪ɪ
kasilyas	kʌs̪il̪jʌs̪
kasingkasing	kʌs̪ɪŋkas̪ɪŋ
kasitas	kʌs̪it̪ʌs̪
kaskas	kʌs̪kas̪
kaso	kas̪ɔ
kaspa	kas̪pʌ
kastigo	kʌs̪t̪igɔ
kasulya	kʌs̪ul̪jʌ
kasundalohan	kʌs̪ʊn̪d̪ʌl̪ohʌn̪
katabang	kʌt̪abʌŋ
katahap	kʌt̪ahʌp
katahom	kʌt̪ʌhom
katakos	kʌt̪ʌkos̪
katarata	kʌt̪ʌɾ̪at̪ʌ
katawa	kʌt̪ʌwa
kategoriya	kʌt̪ɪgɔɾ̪iʌ
katig	kat̪ɪg
katigayonan	kʌt̪ɪgʌjon̪ʌn̪
katkat	kat̪kʌt̪
katmon	kʌt̪mon̪
kato	kat̪ɔ
katol	kʌt̪ol̪
katre	kat̪ɾ̪ɪ
katsila	kʌtsil̪ʌʔ
katulog	kʌt̪ul̪ɔg
katunggan	kʌt̪ʊŋgan̪
katunhayan	kʌt̪ʊŋhʌjan̪
katuod	kʌt̪ʊʔod̪
katupad	kʌt̪upʌd̪
kaugalingnan	kʌʔʊgʌl̪ɪŋn̪an̪
kaugalingon	kʌʔʊgʌl̪iŋɔn̪
kaugmaon	kʌʔʊgmaʔɔn̪
kaulaw	kʌʔuaʊ̯
kaulaw	kʌʔul̪aʊ̯
kaunom	kʌʔun̪ɔm
kauswagan	kʌʔʊs̪wʌgan̪
kawanangan	kʌwʌn̪aŋʌn̪
kawat	kawʌt̪
kawatan	kʌwʌt̪an̪
kawayan	kʌwajʌn̪
kawayanan	kʌwʌjʌn̪an̪
kawit	kawɪt̪
kawras	kaʊ̯ɾ̪ʌs̪
kay	kaɪ̯
kayas	kadʒʌs̪
kayas	kajʌs̪
kayat	kadʒʌt̪
kayat	kajʌt̪
kaymito	kaɪ̯mit̪ɔ
kayo	kajɔ
kendi	kin̪d̪ɪ
keso	kis̪ɔ
kevin	kibɪn̪
kidya	kɪd̪ja
