abaga	ʔʌbagʌ
kikik	kɪkik
kilat	kil̪ʌt̪
kilay	kil̪aɪ̯
kilomkilom	kɪl̪ɔmkil̪ɔm
kilumkilom	kɪl̪ʊmkil̪ɔm
kinabuhi	kɪn̪ʌbuhɪʔ
kinahanglan	kɪn̪ʌhaŋl̪ʌn̪
kinamaguwangan	kɪn̪ʌmʌgwaŋʌn̪
kinasingkasing	kɪn̪ʌs̪ɪŋkas̪ɪŋ
kinatsila	kɪn̪ʌtsil̪ʌʔ
kinsa	kɪn̪s̪aʔ
kintanar	kɪn̪t̪ʌn̪aɾ̪
kisame	kis̪ʌmɪ
kisami	kis̪ʌmɪ
kita	kit̪ʌ
kita	kɪt̪a
kitiw	kit̪iʊ̯
kitiw	kɪt̪iʊ̯
klaro	kl̪aɾ̪ɔ
klinika	kl̪in̪ɪka
kliyente	kl̪jin̪t̪ɪ
kobra	kobɾ̪ʌ
kobra	kɔbɾ̪a
kobrador	kɔbɾ̪ʌd̪oɾ̪
kokak	kokʌk
kolehiyo	kɔl̪ɪhijɔ
kolera	kol̪ɪɾ̪ʌ
kombensyon	kɔmbɪn̪s̪jon̪
kombento	kɔmbin̪t̪ɔ
kombida	kɔmbɪd̪a
komedyana	kɔmɪd̪jan̪ʌ
komedyano	kɔmɪd̪jan̪ɔ
komedyante	kɔmɪd̪jan̪t̪ɪ
komemorasyon	kɔmɪmɔɾ̪ʌs̪jon̪
komentarista	kɔmɪn̪t̪ʌɾ̪is̪t̪ʌ
komentaryo	kɔmɪn̪t̪aɾ̪jɔ
komite	kɔmɪt̪i
komo	komɔ
kompetisyon	kɔmpɪt̪ɪs̪jon̪
kompleto	kɔmpl̪it̪ɔ
komportable	kɔmpɔɾ̪t̪abl̪ɪ
komposisyon	kɔmpɔs̪ɪs̪jon̪
komun	kɔmun̪
komunista	kɔmʊn̪is̪t̪ʌ
kondensada	kɔn̪d̪ɪn̪s̪ad̪ʌ
koneho	kɔn̪ihɔ
kongkreto	kɔŋkɾ̪it̪ɔ
kongresista	kɔŋgɾ̪ɪs̪is̪t̪ʌ
kongreso	kɔŋgɾ̪is̪ɔ
konkreto	kɔŋkɾ̪it̪ɔ
konsagrasyon	kɔn̪s̪ʌgɾ̪ʌs̪jon̪
konsensiya	kɔn̪s̪in̪s̪ja
konsensya	kɔn̪s̪in̪s̪jʌ
konsolasyon	kɔn̪s̪ɔl̪ʌs̪jon̪
konsorte	kɔn̪s̪oɾ̪t̪ɪ
konsumidor	kɔn̪s̪ʊmɪd̪oɾ̪
kontador	kɔn̪t̪ʌd̪oɾ̪
kontento	kɔn̪t̪in̪t̪ɔ
kontrabando	kɔn̪t̪ɾ̪ʌban̪d̪ɔ
kooperasyon	kɔɔpɪɾ̪ʌs̪jon̪
kordero	kɔɾ̪d̪iɾ̪ɔ
kosina	kɔs̪in̪ʌ
kosinera	kɔs̪ɪn̪iɾ̪ʌ
kosinero	kɔs̪ɪn̪iɾ̪ɔ
kotse	kotsɪ
krayola	kɾ̪ʌjol̪ʌ
krayon	kɾ̪ajɔn̪
kristo	kɾ̪is̪t̪ɔ
kropek	kɾ̪opɪk
kubalan	kʊbʌl̪an̪
kubalon	kʊbal̪ɔn̪
kubkob	kʊbkob
kubot	kubɔt̪
kubot	kʊbot̪
kubtanan	kʊbt̪an̪ʌn̪
kudeta	kud̪ɪt̪ʌ
kudkoran	kʊd̪kɔɾ̪an̪
kugaw	kugaʊ̯
kughal	kʊghal̪
kugita	kʊgit̪ʌ
kugmo	kugmɔ
kugmohon	kʊgmohɔn̪
kugon	kʊgon̪
kugos	kugɔs̪
kugtong	kʊgt̪oŋ
kuha	kuhʌʔ
kuhit	kuhɪt̪
kujaji	kʊdʒadʒɪ
kuko	kʊko
kukok	kukɔk
kulago	kʊl̪agɔʔ
kulangot	kʊl̪aŋɔt̪
kulas	kʊl̪as̪
kuli	kul̪ɪʔ
kuli	kʊl̪iʔ
kulianon	kʊl̪ɪʔan̪ɔn̪
kulkol	kul̪kɔl̪
kulob	kʊl̪ob
kumagat	kʊmagʌt̪
kumagko	kʊmagkɔʔ
kumalagko	kʊmagkɔʔ
kumalagko	kʊmʌl̪agkɔʔ
kumusta	kʊmʊs̪t̪a
kupo	kʊpoʔ
kupos	kupɔs̪
kupot	kʊpot̪
kuratsa	kʊɾ̪atsʌ
kurba	kʊɾ̪ba
kurus	kʊɾ̪us̪
kuryente	kʊɾ̪jin̪t̪ɪ
kusgan	kʊs̪gan̪
kusina	kʊs̪in̪ʌ
kusisang	kʊs̪is̪ʌŋ
kusog	kʊs̪og
kutana	kʊt̪an̪ʌ
kutas	kʊt̪as̪
kuting	kʊt̪iŋ
kutis	kut̪ɪs̪
kutkot	kut̪kɔt̪
kuto	kut̪ɔ
kutsara	kʊtsaɾ̪ʌ
kutsaron	kʊtsʌɾ̪on̪
kutsilyo	kʊtsil̪jɔ
kuwadrilyon	kwʌd̪ɾ̪ɪl̪jon̪
kuwang	kuʌŋ
kuwarta	kwaɾ̪t̪ʌ
kuwartahan	kwʌɾ̪t̪ahʌn̪
kuweba	kwibʌ
kuwenta	kwin̪t̪ʌ
kuwintilyon	kwɪn̪t̪ɪl̪jon̪
kuwitis	kwit̪ɪs̪
kuyap	kʊjap
kuyba	kuɪbʌ
kwarta	kwʌɾ̪t̪ʌ
kwelyo	kwɪl̪jɔ
kwestyonable	kwɪs̪t̪jɔn̪abl̪ɪ
kyawkyaw	kjaʊ̯kjaʊ̯
laag	l̪aʔʌg
laagan	l̪ʌʔʌgan̪
laba	l̪ʌba
labaha	l̪ʌbahʌ
labandera	l̪ʌbʌn̪d̪iɾ̪ʌ
labandero	l̪ʌbʌn̪d̪iɾ̪ɔ
labanos	l̪abʌn̪ɔs̪
labastida	l̪ʌbʌs̪t̪id̪ʌ
labaw	l̪abaʊ̯
labay	l̪abaɪ̯
labender	l̪ʌbin̪d̪ɪɾ̪
labhan	l̪ʌbhan̪
labong	l̪abɔŋ
labot	l̪abɔt̪
labuyo	l̪ʌbujɔʔ
laga	l̪aʔgʌʔ
lagaw	l̪ʌgaʊ̯
lagay	jʌgaɪ̯
lagay	l̪ʌgaɪ̯
lagingling	l̪ʌgɪŋl̪iŋ
lagos	l̪ʌgos̪
lagutmon	l̪ʌgut̪mɔn̪
lagutom	l̪ʌgut̪ɔm
lahar	l̪ʌhaɾ̪
lain	l̪aʔɪn̪
lakang	l̪akʌŋ
lakat	l̪ʌkat̪
lakaw	l̪ʌkaʊ̯
laki	l̪akɪ
laksa	l̪ʌks̪aʔ
laksot	l̪ʌks̪ot̪
lalag	l̪al̪ʌg
lalaki	l̪ʌl̪akɪ
lalawigan	l̪ʌl̪ʌwigʌn̪
lalom	l̪al̪ɔm
lamdaman	l̪ʌmd̪amʌn̪
lamok	l̪ʌmok
lamparilya	l̪ʌmpʌɾ̪il̪jʌ
lampin	l̪ʌmpin̪
lana	l̪an̪ʌ
langaw	l̪aŋaʊ̯
langgam	l̪ʌŋgam
langit	l̪aŋɪt̪
langob	l̪ʌŋob
langoy	l̪ʌŋoj
langoyanan	l̪ʌŋɔjan̪ʌn̪
lansa	l̪ʌn̪s̪a
lansang	l̪ʌn̪s̪aŋ
lansaro	l̪ʌn̪s̪ʌɾ̪o
lansarohon	l̪ʌn̪s̪ʌɾ̪ɔhon̪
lansones	l̪ʌn̪s̪on̪ɪs̪
lansyaw	l̪an̪s̪jaʊ̯
laog	l̪aʔɔg
laom	l̪aʔɔm
lapad	l̪ʌpad̪
lapas	l̪ʌpas̪
lapida	l̪apɪd̪ʌ
lapis	l̪apɪs̪
lapok	l̪ʌpok
lapot	l̪ʌpot̪
largabista	l̪ʌɾ̪gʌbis̪t̪ʌ
lasang	l̪as̪ʌŋ
lasaw	l̪as̪aʊ̯
laslas	l̪ʌs̪l̪as̪
lastiko	l̪as̪t̪ɪkɔ
laurel	l̪aʊ̯ɾ̪il̪
lauron	l̪aʊ̯ɾ̪on̪
lawas	l̪awʌs̪
laway	l̪awaɪ̯
lawayan	l̪ʌwʌjan̪
lawgaw	l̪aʊ̯gaʊ̯
lawig	l̪ʌwig
lawin	l̪awɪn̪
lawis	l̪awɪs̪
lawod	l̪ʌwod̪
lawting	l̪aʊ̯t̪ɪŋ
laya	l̪ajʌʔ
layag	l̪ajʌg
layas	l̪ajʌs̪
layas	l̪ʌjas̪
layo	jʌjoʔ
layo	l̪ʌdʒoʔ
layo	l̪ʌjoʔ
ledesma	l̪ɪd̪is̪mʌ
legalisasyon	l̪ɪgʌl̪ɪs̪ʌs̪jon̪
lehislasyon	l̪ɪhɪs̪l̪ʌs̪jon̪
lehislatura	l̪ɪhɪs̪l̪ʌt̪uɾ̪ʌ
letse	l̪itsɪ
leytehanon	l̪it̪ɪhan̪ɔn̪
libak	l̪ɪbak
libang	l̪ɪbaŋ
libjo	l̪ɪbhoʔ
libod	l̪ibɔd̪
libog	l̪ibɔg
libot	l̪ibɔt̪
libradilla	l̪ɪbɾ̪ʌd̪il̪jʌ
libre	l̪ibɾ̪ɪ
libro	l̪ɪbɾ̪o
lider	l̪id̪ɪɾ̪
ligid	l̪igɪd̪
lihay	l̪ɪhaɪ̯
likay	l̪ikaɪ̯
liko	l̪ɪkoʔ
likod	l̪ɪkod̪
lima	l̪ɪma
limbaga	l̪ɪmbagʌ
limbong	l̪ɪmboŋ
limonsito	l̪ɪmɔn̪s̪it̪ɔ
limpiyado	l̪ɪmpjad̪ɔ
limpyado	l̪ɪmpjad̪ɔ
limpyo	l̪impjɔ
limugmog	l̪ɪmugmɔg
linaw	l̪in̪aʊ̯
lingaw	l̪iŋaʊ̯
lingkod	l̪iŋkɔd̪
lingkoranan	l̪ɪŋkɔɾ̪an̪ʌn̪
liningkoran	l̪ɪn̪ɪŋkoɾ̪ʌn̪
linkoranan	l̪ɪŋkɔɾ̪an̪ʌn̪
linog	l̪in̪ɔg
linti	l̪in̪t̪ɪʔ
linuto	l̪ɪn̪ut̪ɔʔ
lipay	l̪ipaɪ̯
lisensiya	l̪ɪs̪in̪s̪jʌ
lisensiyado	l̪ɪs̪ɪn̪s̪jad̪ɔ
lisensya	l̪ɪs̪in̪s̪jʌ
lisensyado	l̪ɪs̪ɪn̪s̪jad̪ɔ
liso	l̪is̪ɔ
lisod	l̪is̪ɔd̪
lisod	l̪ɪs̪od̪
lisondra	l̪ɪs̪on̪d̪ɾ̪ʌ
lista	l̪is̪t̪ʌ
listahan	l̪ɪs̪t̪ahʌn̪
litaniya	l̪ɪt̪ʌn̪iʌ
litrato	l̪ɪt̪ɾ̪at̪ɔ
liwat	l̪ɪwat̪
llanera	l̪jʌn̪iɾ̪ʌ
lomo	l̪omɔ
longganisa	l̪ɔŋgʌn̪is̪ʌ
lopez	l̪opɪs̪
loreto	l̪ɔɾ̪it̪ɔ
luag	l̪ʊʔag
lubnganan	l̪ʊbŋan̪ʌn̪
lubong	l̪ʊboŋ
lubot	l̪ʊbot̪
luchavez	l̪ʊtsabɪs̪
lugaw	l̪ugaʊ̯
lugaynan	l̪ʊgaɪ̯n̪an̪
lugi	l̪ugɪʔ
lugos	l̪ugɔs̪
luha	l̪uhʌʔ
luhod	l̪ʊhod̪
lukdo	l̪ukd̪ɔ
lukso	l̪uks̪ɔ
lukton	l̪ʊkt̪on̪
lulod	l̪ul̪ɔd̪
lumos	l̪ʊmos̪
lumponid	l̪ʊmpon̪ɪd̪
lundag	l̪ʊn̪d̪ag
lunes	l̪un̪ɪs̪
lungay	l̪ʊŋaɪ̯
lungayngay	l̪ʊŋaɪ̯ŋaɪ̯
lungib	l̪ʊŋib
lungon	l̪ʊŋon̪
lungsod	l̪ʊŋs̪od̪
lunhaw	l̪ʊŋhaʊ̯
lunod	l̪un̪ɔd̪
lunsod	l̪ʊn̪s̪od̪
luom	l̪uʔɔm
lupad	l̪ʊpad̪
lupog	l̪upɔg
lupoy	l̪ʊpoj
lusay	lusɐj
lusay	lɔsɐj
lusot	l̪ʊs̪ot̪
luta	l̪ut̪ʌ
luta	l̪ʊt̪aʔ
lutahan	l̪ʊt̪ahʌn̪
luto	l̪ut̪ɔʔ
luto	l̪ʊt̪o
luwa	l̪waʔ
luwaan	l̪wʌʔan̪
luwag	l̪wag
luwas	l̪was̪
maa	ma
maanyag	mʌʔan̪jʌg
maayo	mʌʔajɔ
mabalod	mʌbʌl̪od̪
mabangis	mʌbʌŋis̪
mabdos	mʌbd̪os̪
mabolo	mʌbol̪ɔ
mactan	mʌkt̪an̪
madangit	mʌd̪aŋɪt̪
madanguit	mʌd̪ʌŋgit̪
madre	mad̪ɾ̪ɪ
madyong	mʌd̪joŋ
maestra	mʌis̪t̪ɾ̪ʌ
maestro	mʌis̪t̪ɾ̪ɔ
mafalda	mʌpal̪d̪ʌ
magburuhat	mʌgbʊɾ̪uhʌt̪
magdudula	mʌgd̪ʊd̪ul̪ʌʔ
magduduwa	mʌgd̪ʊd̪uʌʔ
magkabayo	mʌgkʌbajɔ
maglala	mʌgl̪al̪ʌ
magpailad	mʌgpʌʔil̪ʌd̪
magulang	mʌgul̪ʌŋ
mahal	mʌhal̪
mahatagon	mʌhʌt̪agɔn̪
mahuyang	mʌhujʌŋ
mainom	mʌʔɪn̪om
makahilo	mʌkʌhɪl̪o
makaon	mʌkaʔɔn̪
makatubol	mʌkʌt̪ʊbol̪
makatunok	mʌkat̪ʊn̪ok
makina	makɪn̪ʌ
makopa	mʌkopʌ
mal	mal̪
mala	mʌl̪a
maldito	mʌl̪d̪it̪ɔ
malinaw	mʌl̪in̪aʊ̯
malinawon	mʌl̪ɪn̪awn̪
malipayon	mʌl̪ɪpajɔn̪
malisyoso	mʌl̪ɪs̪jos̪ɔ
mall	mol̪
maluya	mʌl̪ujʌ
mamaligyaay	mʌmʌl̪ɪgjʌʔaɪ̯
mamatayan	mʌmʌt̪ajʌn̪
mamati	mʌmat̪ɪʔ
mamumuno	mʌmʊmun̪ɔʔ
man	man̪
manahon	mʌn̪ahɔn̪
manambalay	mʌn̪ʌmbʌl̪aɪ̯
manananggot	mʌn̪ʌn̪ʌŋgot̪
mananap	mʌn̪ʌn̪ap
mananquil	mʌn̪ʌŋkil̪
mandauehanon	mʌn̪d̪ʌwɪhan̪ɔn̪
mando	man̪d̪ɔ
maneho	mʌn̪ihɔ
mangahoy	mʌŋahoɪ̯
mangayam	mʌŋajʌm
mangga	maŋgʌ
manghihilot	mʌŋhɪhil̪ɔt̪
manghod	mʌŋhod̪
mangtas	mʌŋt̪as̪
mangubat	mʌŋubʌt̪
mani	mʌn̪i
manigarilyo	mʌn̪ɪgʌɾ̪il̪jɔ
manila	mʌn̪il̪ʌ
manila	mʌn̪il̪ʌʔ
maniobra	mʌn̪jobɾ̪ʌ
manok	mʌn̪ok
manokmanok	mʌn̪ɔkman̪ɔk
mansa	mʌn̪s̪a
mansanas	mʌn̪s̪an̪ʌs̪
mansanitas	mʌn̪s̪ʌn̪it̪ʌs̪
mantala	mʌn̪t̪al̪ʌ
manunubos	mʌn̪ʊn̪ubɔs̪
manzano	mʌn̪s̪an̪ɔ
maong	mʌʔoŋ
mapa	mapʌ
mapahiyomon	mʌpʌhɪjomɔn̪
mapintas	mʌpin̪t̪ʌs̪
maribel	mʌɾ̪ibɪl̪
marigondon	mʌɾ̪ɪgɔn̪d̪on̪
marilog	mʌɾ̪il̪ɔg
marinero	mʌɾ̪ɪn̪iɾ̪ɔ
marpil	mʌɾ̪pil̪
marso	maɾ̪s̪ɔ
martes	maɾ̪t̪ɪs̪
martilyo	mʌɾ̪t̪il̪jɔ
martinez	mʌɾ̪t̪in̪ɪs̪
martsa	maɾ̪t̪s̪ʌ
masahe	mʌs̪ahɪ
masahista	mʌs̪ʌhis̪t̪ʌ
masanagon	mʌs̪ʌn̪agɔn̪
masbate	mʌs̪bat̪ɪ
maskara	mas̪kʌɾ̪ʌ
maskin	mas̪kɪn̪
masol	mas̪ɔl̪
masuso	mʌs̪us̪ɔ
masyador	mʌs̪jad̪ɔɾ̪
mata	mʌt̪a
matahapon	mʌt̪ʌhapɔn̪
matapobre	mʌt̪ʌpobɾ̪ɪ
matay	mʌt̪aɪ̯
mate	mat̪ɪ
matinumanon	mʌt̪ɪn̪ʊman̪ɔn̪
matso	matsɔ
matugas	mʌt̪ugʌs̪
matulogtulog	mʌt̪ʊl̪ɔgt̪ul̪ɔg
matunok	mʌt̪ʊn̪ok
mauswagon	mʌʔʊs̪wagɔn̪
mayo	majɔ
mayor	miɪjɔɾ̪
medina	mɪd̪in̪ʌ
melgar	mɪl̪gaɾ̪
mendoza	mɪn̪d̪os̪ʌ
mensahe	mɪn̪s̪ahɪ
mercader	mɪɾ̪kʌd̪iɾ̪
merida	miɾ̪ɪd̪ʌ
merkado	mɪɾ̪kad̪ɔ
mika	mɪkaʔ
mikropono	mɪkɾ̪opɔn̪ɔ
militarista	mɪl̪ɪt̪ʌɾ̪is̪t̪ʌ
minaisan	mɪn̪ʌʔɪs̪an̪
minero	mɪn̪iɾ̪ɔ
mingming	mɪŋmiŋ
mintal	mɪn̪t̪al̪
mintinar	mɪn̪t̪ɪn̪aɾ̪
minuto	mɪn̪ut̪ɔ
misis	mis̪ɪs̪
miyembro	mjimbɾ̪ɔ
miyentras	mjin̪t̪ɾ̪ʌs̪
miyerkoles	mjiɾ̪kɔl̪is̪
modus	mod̪ʊs̪
mongha	moŋhʌ
montebon	mɔn̪t̪ɪbon̪
montellano	mɔn̪t̪ɪl̪jan̪ɔ
montesino	mɔn̪t̪ɪs̪in̪ɔ
montillano	mɔn̪t̪ɪl̪jan̪ɔ
monyeka	mɔn̪jikʌ
moreno	mɔɾ̪in̪ɔ
morpema	mɔɾ̪pimʌ
moskitero	mɔs̪kɪt̪iɾ̪ɔ
motor	mɔt̪oɾ̪
mulmol	mul̪mɔl̪
mulong	mʊl̪oŋ
multa	mʊl̪t̪a
mumho	mumhɔ
munisipyo	mʊn̪ɪs̪ipjɔ
muro	mʊɾ̪o
musta	mʊs̪t̪a
mutya	mut̪jʌʔ
naga	n̪agʌ
namok	n̪ʌmok
nana	n̪an̪ʌʔ
nancy	n̪an̪s̪ɪ
nangka	n̪aŋkʌʔ
naog	n̪aʔɔg
napo	n̪apɔʔ
napulo	n̪ʌpoʔ
napulo	n̪ʌpul̪ɔʔ
napulo	n̪ʌpuwʔ
nara	n̪aɾ̪ʌ
nasod	n̪as̪ɔd̪
nasyon	n̪ʌs̪jon̪
nawong	n̪awoŋ
negra	n̪igɾ̪ʌ
negro	n̪igɾ̪ɔ
negros	n̪igɾ̪ɔs̪
nepotismo	n̪ɪpɔt̪is̪mɔ
ngabil	ŋabɪl̪
ngalan	ŋal̪ʌn̪
ngano	ŋan̪ɔ
ngipon	ŋipɔn̪
ngisi	ŋis̪ɪ
ngislit	ŋis̪l̪ɪt̪
ngislo	ŋɪs̪l̪oʔ
nguho	ŋuhɔʔ
ngulngol	ŋul̪ŋɔl̪
ngutngot	ŋut̪ŋɔt̪
nigo	n̪igɔ
nila	n̪ɪl̪a
ningtiil	n̪ɪŋt̪iʔɪl̪
ninjo	n̪ɪn̪dʒo
ninyo	n̪ɪn̪dʒo
ninyo	n̪ɪn̪jo
nipis	n̪ɪpis̪
niya	n̪ja
niya	n̪ɪdʒa
nobenta	n̪ɔbin̪t̪ʌ
nobiyembre	n̪ɔbjimbɾ̪ɪ
nobyembre	n̪ɔbjimbɾ̪ɪ
nukos	n̪ukɔs̪
nuñez	n̪uɲɪs̪
obserbasyon	ʔɔbs̪ɪɾ̪bʌs̪jon̪
ocampo	ʔɔkampɔ
ocaña	ʔɔkaɲʌ
oktubre	ʔɔkt̪ubɾ̪ɪ
okupado	ʔɔkʊpad̪ɔ
okupar	ʔɔkupʌɾ̪
olaivar	ʔɔl̪aɪ̯bʌɾ̪
olayvar	ʔɔl̪aɪ̯bʌɾ̪
oliveros	ʔɔl̪ɪbiɾ̪ɔs̪
ompad	ʔompʌd̪
oportunista	ʔɔpɔɾ̪t̪ʊn̪is̪t̪ʌ
ordinaryo	ʔɔɾ̪d̪ɪn̪aɾ̪jɔ
ormocanon	ʔɔɾ̪mɔkan̪ɔn̪
ortega	ʔɔɾ̪t̪igʌ
osmeña	ʔɔs̪miɲʌ
ospital	ʔɔs̪pɪt̪al̪
otap	ʔot̪ʌp
otin	ʔot̪ɪn̪
otsenta	ʔɔtsin̪t̪ʌ
paa	paʔʌ
paagi	pʌʔagɪ
pabo	pabɔ
pabor	pʌboɾ̪
padayhag	pʌd̪ʌjag
pagadian	pʌgʌd̪iʔʌn̪
pagbisita	pʌgbɪs̪it̪ʌ
pagburos	pʌgbʊɾ̪os̪
pagdugang	pʌgd̪ugʌŋ
pagi	pagɪ
pagkalalaki	pʌgkal̪ʌl̪akɪ
pagkaon	pʌgkaʔɔn̪
paglaom	pʌgl̪aʔɔm
pagmabdos	pʌgmʌbd̪os̪
pagpamolitika	pʌgpʌmɔl̪it̪ɪkʌ
pagpanagop	pagpʌn̪ʌgop
pagpanigarilyo	pʌgpʌn̪ɪgʌɾ̪il̪jɔ
pagtuo	pʌgt̪uʔɔ
pagtupad	pʌgt̪ʊpad̪
pahat	pahʌt̪
pahatanan	pʌhʌt̪an̪ʌn̪
pahayahay	pʌhʌjahaɪ̯
pahiyom	pʌhijɔm
pahiyom	pʌhɪjom
pahulay	pʌhul̪aɪ̯
pahumot	pʌhʊmot̪
pahutan	pʌhut̪ʌn̪
painit	pʌʔin̪ɪt̪
paisano	paɪ̯s̪an̪ɔ
pait	pʌʔit̪
pakal	pʌkal̪
paklay	pakl̪aɪ̯
pakol	pakɔl̪
pakpak	pakpʌk
pakwan	pʌkwan̪
palad	pal̪ʌd̪
palad	pʌl̪ad̪
palahubog	pʌl̪ʌhubɔg
palainom	pʌl̪ʌʔin̪ɔm
palaman	pʌl̪ʌman̪
palangga	pʌl̪ʌŋgaʔ
palanggana	pʌl̪ʌŋgan̪ʌ
palaran	pʌl̪aɾ̪ʌn̪
palibot	pʌl̪ibɔt̪
palihog	pʌl̪ihɔg
palihug	pʌl̪ihʊg
palit	pʌl̪it̪
pamahaw	pʌmahaʊ̯
pamati	pʌmat̪ɪ
pambata	pʌmbat̪ʌ
pamilyado	pʌmɪl̪jad̪ɔ
pamilyar	pʌmɪl̪jaɾ̪
pampam	pampʌm
pampanga	pʌmpaŋgʌ
pamuhi	pʌmuhɪʔ
pan	pan̪
panagang	pʌn̪ʌgaŋ
panahon	pʌn̪ʌhon̪
panaw	pan̪aʊ̯
pandak	pʌn̪d̪ak
panday	pʌn̪d̪aɪ̯
pandesal	pʌn̪d̪ɪs̪al̪
pandong	pʌn̪d̪oŋ
pangadye	pʌŋʌd̪jiʔ
pangadyi	pʌŋʌd̪jiʔ
pangalan	pʌŋal̪ʌn̪
panganod	pʌŋʌn̪od̪
panganoron	pʌŋʌn̪oɾ̪ɔn̪
pangguon	pʌŋguʔɔn̪
panginabuhian	paŋɪn̪ʌbʊhiʔʌn̪
panglawas	pʌŋl̪awʌs̪
panigarilyo	pʌn̪ɪgʌɾ̪il̪jɔ
panihapon	pʌn̪ɪhapɔn̪
paniudto	pʌn̪ɪʔʊd̪t̪o
pansat	pʌn̪s̪at̪
pantalan	pʌn̪t̪ʌl̪an̪
pantalon	pan̪t̪ʌl̪on̪
pantasma	pʌn̪t̪as̪mʌ
pantat	pʌn̪t̪at̪
pantihan	pʌn̪t̪ihʌn̪
pantog	pʌn̪t̪og
panultihon	pʌn̪ʊl̪t̪ihɔn̪
panyaspanyas	pan̪jʌs̪pan̪jʌs̪
panyawan	pʌn̪jawʌn̪
papel	pʌpil̪
paquibato	pʌkɪbat̪ɔ
paragrap	paɾ̪ʌgɾ̪ʌp
paraiso	pʌɾ̪aɪ̯s̪ɔ
parapente	pʌɾ̪ʌpin̪t̪ɪ
parapo	paɾ̪ʌpɔ
paras	pʌɾ̪as̪
parat	pʌɾ̪at̪
pareho	pʌɾ̪ihɔ
pareja	pʌɾ̪ihʌ
pari	paɾ̪ɪʔ
paril	pʌɾ̪il̪
partisipasyon	pʌɾ̪t̪ɪs̪ɪpʌs̪jon̪
paryente	pʌɾ̪jin̪t̪ɪ
pasaw	pas̪aʊ̯
pasayan	pʌs̪adʒʌn̪
pasayan	pʌs̪ajʌn̪
pasaylo	pʌs̪aɪ̯l̪ɔ
pasi	pas̪ɪʔ
pasikat	pʌs̪ikʌt̪
pasilidad	pʌs̪ɪl̪ɪd̪ad̪
pasipiko	pʌs̪ipɪko
pasipismo	pʌs̪ɪpis̪mɔ
pasipista	pʌs̪ɪpis̪t̪ʌ
paso	pas̪ɔ
paso	pas̪ɔʔ
paspas	pas̪pʌs̪
pastor	pʌs̪t̪oɾ̪
pasyente	pʌs̪jin̪t̪ɪ
patalinghug	pʌt̪ʌl̪ɪŋhug
patay	pʌt̪aɪ̯
patilya	pʌt̪il̪jʌ
pating	pat̪ɪŋ
pato	pat̪ɔ
patong	pat̪ɔŋ
pautang	pʌʔut̪ʌŋ
pawikan	pʌwikʌn̪
payag	pajʌg
payod	pajɔd̪
payong	pajɔŋ
paypay	paɪ̯paɪ̯
pebrero	pɪbɾ̪iɾ̪ɔ
pederasyon	pɪd̪ɪɾ̪ʌs̪jon̪
pedro	pid̪ɾ̪ɔ
pelikula	pɪl̪ikʊl̪ʌ
pepino	pɪpin̪ɔ
peralta	pɪɾ̪al̪t̪ʌ
perez	piɾ̪ɪs̪
perhuwisyo	pɪɾ̪hʊis̪jɔ
periko	pɪɾ̪ikɔ
perla	piɾ̪l̪ʌ
personal	pɪɾ̪s̪on̪ʌl̪
perya	piɾ̪jʌ
petrolyo	pɪt̪ɾ̪ol̪jɔ
petsa	pitsʌ
petsahan	pɪtsʌhan̪
piguratibo	pɪgʊɾ̪ʌt̪ibɔ
pigurin	pɪgʊɾ̪in̪
pikit	pɪkit̪
pikoy	pɪkoj
pila	pil̪ʌ
pila	pɪl̪a
