	kjapita
	klaːs
a	a
aaba	aːba
aad	aːd
aadiens	aːdiens
aaf	aːf
aafwe	aːfwe
aagan	aːgan
aaganizieshan	aːganizɪɛʃan
aaganizm	aːganizm̩
aagas	aːgas
aagiment	aːgiment
aajentiina	aːdʒentiːna
aakid	aːkid
aal	aːl
aalmuos	aːlmuɔs
aalwiez	aːlwɪɛz
aarait	aːɹaɪt
aaredi	aːɹedi
aas	aːs
aas-riesin	aːsɹɪɛsin
aat	aːt
aata	aːta
aatagrafi	aːtagɹafi
aatiek	aːtɪɛk
aatis	aːtis
aawez	aːwez
aazwiez	aːzwɪɛz
ab	ab
abee	abeː
abov	abov
abraad	abɹaːd
achrakshan	atʃɹakʃan
achribyut	atʃɹibjut
ada	ada
adaels	adaels
adawaiz	adawaɪz
adminischrietiv	administʃɹɪɛtiv
advokiet	advokɪɛt
afrika	afɹika
afta	afta
agen	agen
agrikolcha	agɹikoltʃa
agrikolcharal	agɹikoltʃaɹal
agyu	aɟu
ahn	ã
ai	aɪ
aida	aɪda
aidentifai	aɪdentifaɪ
aidentiti	aɪdentiti
aidie	aɪdie
aigl	aɪgl̩
aijrosfier	aɪdʒɹosfɪɛɹ
ail	aɪl
ailan	aɪlan
ailant	aɪlant
airilan	aɪɹilan
airish	aɪɹiʃ
ais	aɪs
aiskriim	aɪskɹiːm
aisoliet	aɪsolɪɛt
ait	aɪt
aiyan	aɪjan
aizak	aɪzak
ajres	adʒɹes
aki	aki
akliem	aklɪɛm
aknalij	aknalidʒ
akraas	akɹaːs
aktivis	aktivis
aktuoba	aktuɔba
ala	ala
alaiv	alaɪv
alayans	alajans
alduo	alduɔ
aligeta	aligeta
aligzanda	aligzanda
aliv	aliv
amerika	amɛɹɪka
amfisbiinyan	amfisbiːɲan
amtan	amtan
an	an
ana	ana
anarebl	anaɹebl̩
anda	anda
andastan	andastan
aneda	aneda
anju	andʒu
anlain	anlaɪn
anles	anles
anmigl	anmigl̩
ansa	ansa
ansofistikietid	ansofistikɪɛtid
antiiga	antiːga
antuoni	antuɔni
anuova	anuova
anz	anz
apaat	apaːt
apaint	apaɪnt
api	api
apier	apɪɛɹ
apl	apl̩
aplai	aplaɪ
apm	apm̩
aprishiet	apɹiʃɪɛt
apruoch	apɹuɔtʃ
apruuv	apɹuːv
ar	aɹ
aredi	aɹedi
ariebia	aɹɪɛbja
arinj	aɹindʒ
asaalt	asaːlt
aschranami	astʃɹanami
aschranomi	astʃɹanomi
aschrielia	astʃɹɪɛlja
askaadn	askaːdn̩
aspital	aspital
at	at
atlantik	atlantik
atletix	atletiks
atmosfier	atmosfɪɛɹ
aul	aul
avielobl	avɪɛlobl̩
awie	awɪɛ
ax	aks
axep	aksep
axtiel	akstɪɛl
aya	aja
az	az
azwel	azwel
ba'aamaz	ba'aːmaz
baaba	baːba
baabiedoz	baːbɪɛdoz
baabyuuda	baːbjuːda
baagin	baːgin
baal	baːl
baan	baːn
baara	baːɹa
baas	baːs
baaskitbaal	baːskitbaːl
baat	baːt
baazli	baːzli
bad	bad
bada	bada
badarieshan	badaɹɪɛʃan
badi	badi
badman	badman
bai	baɪ
baik	baɪk
bailoji	baɪlodʒi
bait	baɪt
baka	baka
bakbuon	bakbuɔn
bakl	bakl̩
bami	bamɪ
ban	ban
banaana	banaːna
banit	banit
baptis	baptis
batam	batam
batn	batn̩
baul	baul
bax	baks
baxin	baksin
baya	baya
bayagrafi	bajagɹafi
bayosfier	bajosfɪɛɹ
beg	beg
bekaa	bekaː
bel	bel
beli	beli
ben	ben
bex	beks
bie	bɪɛ
biebi	bɪɛbi
bied	bɪɛd
biefies	bɪɛfɪɛs
biej	bɪɛdʒ
biek	bɪɛk
bier	bɪɛɹ
bies	bɪɛs
biesik	bɪɛsik
biesin	bɪɛsin
biev	bɪɛv
bifuo	bifuɔ
bifuor	bifuɔɹ
bifuotaim	bifuɔtaɪm
bigop	bɪgop
biif	biːl
biin	biːn
biini	biːni
biis	biːs
bikaazn	bikaːzn̩
bil	bil
bilang	bilaŋ
biyain	bijaɪn
bizniz	bizniz
blai	blaɪ
blak	blak
blingki	bliŋki
bluu	bluː
bod	bod
bokl	bokl̩
bon	bon
bongjri	boŋdʒɹi
bongx	boŋks
bot	bot
bota	bota
botn	botn̩
bou	bɔu
bout	bɔut
braad	bɹaːd
braatopsi	bɹaːtopsi
brazil	bɹazil
bred	bɹed
breda	bɹeda
bredfruut	bɹedfɹuːt
brejrin	bɹedʒɹin
briekop	bɹɪɛkop
briev	bɹɪɛv
bring	bɹiŋ
bringgl	bɹiŋgl̩
britn	bɹitn
brok	bɹok
broun	bɹɔun
bruus	bɹuːs
buk	buk
bulfraag	bulfɹaːg
buod	buɔd
buodn	buɔdn̩
buot	buɔt
bush	buʃ
buut	buːt
bwai	bwaɪ
bwail	bwaɪl
byuuno	bjuːno
byuuti	bjuːti
chaaj	tʃaːdʒ
chaaklit	tʃaːklit
chaali	tʃaːli
chaina	tʃaɪna
chais	tʃaɪs
chaka-chaka	tʃakatʃaka
chat	tʃat
cheri	tʃeɹi
ches	tʃes
chichi	tʃitʃi
chienj	tʃɪɛndʒ
chiiz	tʃiːz
chikin	tʃikin
cho	tʃo
chobl	tʃobl̩
choch	tʃotʃ
chokcha	tʃoktʃa
chos	tʃos
chostii	tʃostiː
chrabl	tʃɹabl̩
chradishan	tʃɹadiʃan
chrai	tʃɹaɪ
chrajidi	tʃɹadʒidi
chrang	tʃɹaŋ
chranzfaam	tʃɹanzfaːm
chranzishan	tʃɹanziʃan
chranznashinal	tʃɹanznaʃinal
chrap	tʃɹap
chrapik	tʃɹapik
chrapikal	tʃɹapikal
chrech	tʃɹetʃ
chrecha	tʃɹetʃa
chrent	tʃɹent
chretn	tʃɹetn̩
chried	tʃɹɪɛd
chrien	tʃɹɪɛn
chrienin	tʃɹɪɛnin
chrienja	tʃɹɪɛndʒa
chriet	tʃɹɪɛt
chrii	tʃɹiː
chriit	tʃɹiːt
chriiti	tʃɹiːti
chrik	tʃɹik
chrikifai	tʃɹikifaɪ
chrilaani	tʃɹilaːni
chrinidad	tʃɹinidad
chrompit	tʃɹompit
chruu	tʃɹuː
chuocho	tʃuɔtʃo
chuochuo	tʃuɔtʃuɔ
chupid	tʃupid
chuu	tʃuː
chuu-chuu	tʃuːtʃuː
chuuhout	tʃuːhɔut
chuun	tʃuːn
chuut	tʃuːt
chuuz	tʃuːz
da	da
daa	daː
daag	daːg
daans	daːns
daata	daːta
dahn	dã
dailuut	daɪluːt
dainasuor	daɪnasuɔɹ
dairek	daɪɹek
dala	dala
daminiika	daminiːka
daminikan	daminikan
danal	danal
dangki	daŋki
darati	daɹati
dash	daʃ
dashiin	daʃiːn
dat	dat
dat-de	datde
dayalek	dajalek
dayaspora	dajaspoɹa
dayatishan	dajatiʃan
de	de
debl	debl̩
ded	ded
definishan	definiʃan
dehn	dehn
dehn	dẽ
dekied	dekɪɛd
dem	dem
dem-de	demde
dem-ya	demja
demakrasi	demakɹasi
dep	dep
derik	deɹik
deso	deso
dezat	dezat
di	di
dibiet	dibɪɛt
die	dɪɛ
dieli	dɪɛli
dievid	dɪɛvid
difiit	difiːt
difikolti	difikolti
difrahn	difɹã
difrans	difɹans
digrii	digɹiː
diil	diːl
diklier	diklɪɛɹ
diktieta	diktɪɛta
diktietaship	diktɪɛtaʃip
dimokratizieshan	dimokɹatizɪɛʃan
dipaacha	dipaːtʃa
dipen	dipen
dis	dis
dis-ya	disja
disaid	disaɪd
disaya	disaja
dischribyuushan	distʃɹibjuːʃan
disemba	disemba
disendant	disendant
disepshos	dɪsepʃos
disgostid	disgostid
diskovri	diskovɹi
distingshan	distiŋʃan
ditiel	ditɪɛl
divaid	divaɪd
dizain	dizaɪn
dizort	dizoɹt
domestikieshan	domestikɪɛʃan
domplin	domplin
dong	doŋ
dopi	dopɪ
dos	dos
doti	doti
dout	dɔut
drop	dɹop
dukunu	dukunu
duo	duɔ
duohn	duõ
duor	duɔɹ
dwiit	dwiːt
dyuu	djuː
ebi	ebi
ebn	ebn̩
ebri	ebɹi
ebribadi	ebɹibadi
ebriting	ebɹitiŋ
ed	ed
edikieshan	edikɪɛʃan
edita	edita
edwad	edwad
ef	ef
egvaantij	egvaːntidʒ
egzakli	egzakli
egzamin	egzamin
egzampl	egzampl̩
egzis	egzis
eliat	eliat
eliment	eliment
elivieta	elivɪɛta
elp	elp
els	els
elswe	elswe
en	en
enaji	enadʒi
eni	eni
enibadi	enibadi
eniebl	enɪɛbl̩
enitaim	enɪtaɪm
eniwiez	eniwɪɛz
entapraiz	entapɹaɪz
eritij	eɹitidʒ
esn	esn̩
evidens	evidens
evri	evɹi
exchienj	ekstʃɪɛndʒ
exchriim	ekstʃɹiːm
exepshan	eksepʃan
exkiep	ekskɪɛp
exkluudn	ekskluːdn̩
expanshan	ekspanʃan
expiriens	ekspiɹɪɛns
expuot	ekspuɔt
extablish	ekstabli
extingk	ekstiŋk
fa	fa
faada	faːda
faal	faːl
faam	faːm
faam	faːma
faama	faːma
faamat	faːmat
faar	faːɹ
faas	faːs
faatifikieshan	faːtifikɪɛʃan
fagivnis	fagivnis
faib	faɪb
fain	faɪn
fainal	faɪnal
faiya	faɪja
faiyaman	faɪjaman
fak	fak
fala	fala
falara	falaɹa
falarin	falaɹin
falmot	falmot
fambli	fambli
farin	faɹin
farina	faɹina
fasilitiet	fasilitɪɛt
faya	faja
febiweri	febiweɹi
feda	feda
feminis	feminis
feminizim	feminizim
fene	fene
fens	fens
fi	fi
fiemos	fɪɛmos
fies	fɪɛs
fiesti	fɪɛsti
fiet	fɪɛt
fieva	fieva
fif	fif
fiftiin	fiftiːn
figa	figa
figat	figat
fiicha	fiːtʃa
fiil	fiːl
fiimiel	fiːmɪɛl
fiiva	fiːva
fikshan	fikʃan
filasafi	filasafi
filipiinz	filipiːnz
finaminan	finaminan
finanshal	finanʃal
fingga	fiŋga
fingga-hed	fiŋgahed
fiziolaji	fizioladʒi
fizishan	fiziʃan
fizix	fiziks
flai	flaɪ
flieva	flɪɛva
flim	flim
flod	flod
flowa	flowa
fluor	fluɔɹ
fongkshan	foŋkʃan
foris	foɹis
form	foɹm
fos	fos
foul	foul
fraag	fɹaːg
frahn	fɹã
frai	fɹaɪ
fraitn	fɹaɪtn̩
frans	fɹans
frenship	fɹenʃip
fruut	fɹuːt
fufu	fufu
ful	ful
fuo	fuɔ
fuokos	fuɔkos
fuos	fuɔs
fuot	fuɔt
fuotiin	fuɔtiːn
fut	fut
futbaal	futbaːl
fuud	fuːd
fyuil	fjuil
fyuu	fjuː
gaa	gaː
galang	galaŋ
gens	gens
get	get
gien	gɪɛn
giet	gɪɛt
ginep	ginep
gluobal	gluɔbal
go	go
gobna	gobna
gobna-jinaral	gobnadʒinaɹal
goli	golɪ
golibl	golibl̩
gon	gon
govament	govament
graasapa	gɹaːsapa
grampierans	gɹampɪɛɹans
grenidiinz	gɹenidiːnz
griep	gɹɪɛp
griet	gɹɪɛt
grietis	gɹɪɛtis
grii	gɹiː
griin	gɹiːn
griis	gɹiːs
grinieda	gɹinɪɛda
grong	gɹoŋ
gruo	gɹuɔ
gruot	gɹuɔt
gud	gud
gudz	gudz
gunggu	guŋgu
guol	guɔl
guot	guɔt
guzu	guzu
gwaava	gwaːva
gwan	gwan
gyaad	ɟaːd
gyaadn	ɟaːdn̩
gyaalik	ɟaːlik
gyada	ɟada
gyadarin	ɟadaɹin
gyal	ɟal
gyas	ɟas
haakiek	haːkɪɛk
haalzwie	haːlzwɪɛ
haatagrafi	haːtagɹafi
haatikl	haːtikl̩
haatis	haːtis
habrij	habɹidʒ
habvios	habvios
hada	hada
hadap	hadap
hadvenchara	hadventʃaɹa
hafi	hafi
haid	haɪd
hairish	haɪɹiʃ
hambrela	hambɹela
hanalisis	hanalisis
hanimal	hanimal
harijin	haɹidʒin
hat	hat
hatityuud	hatitjuːd
haxent	haksent
haxesobl	haksesobl̩
haxpek	hakspek
hayan	hajan
hayan-mekin	hajanmekin
haz	haz
hebini	hebini
hebm	hebm̩
hedituoryal	hedituɔɹjal
heg	heg
hels	hels
hen	hen
heni	heni
heniting	henitiŋ
hexpand	hekspand
hexplien	heksplɪɛn
hexpreshan	hekspɹeʃan
hexten	heksten
hextingk	hekstiŋk
hidyam	hidjam
hieja	hɪɛdʒa
hiem	hɪɛm
hiet	hɪɛt
hietiin	hɪɛtiːn
hifek	hifek
higla	higla
hiit	hiːt
hiiz	hiːz
hilekchranik	hilektʃɹanik
himpres	himpɹes
hinchradokshan	hintʃɹadokʃan
hinchrajuus	hintʃɹadʒuːs
hinchres	hintʃɹes
hinfluens	hinfluens
hingglish	hiŋgliʃ
hinishal	hiniʃal
hinkluudn	hinkluːdn̩
hintanashinal	hintanaʃinal
hofishal	hofiʃal
honggl	hoŋgl̩
honggri	hoŋgɹi
honyan	hoɲan
hopin-en	hopinen
horbanizieshan	hoɹbanizɪɛʃan
hori	hoɹi
horli	hoɹli
howa	howa
hox	hoks
huobaluk	huɔbaluk
huol	huɔl
huol-taima	huɔltaɪma
huoliip	huɔliːp
huoral	huɔɹal
huovn	huɔvn̩
ie	ɪɛ
iebl	ɪɛbl̩
ieda	ɪɛda
iej	ɪɛdʒ̩
ieja	ɪɛdʒa
iejobl	ɪɛdʒobl̩
iel	ɪɛl
iemi	ɪɛmi
ienshent	ɪɛnʃent
iepril	ɪɛpɹil
ier	ɪɛɹ
ieria	ɪɛɹia
ies	ɪɛs
iet	ɪɛt
ieti	ɪɛti
ietiin	ɪɛtiːn
iez	iez
iezha	ɪɛʒa
ifainali	ifaɪnali
ifek	ifek
igwaana	igwaːna
ihn	ĩ
iibm	iːbm̩
iibn	iːbn̩
iihn	ĩː
iijip	iːdʒip
iikwal	iːkwal
iin	iːn
iip	iːp
iir	iːɹ
iis	iːs
iistan	iːstan
iit	iːt
iivn	iːvn̩
iivnin	iːvnin
ikanami	ikanami
ikanamik	ikanamik
ikanamix	ikanamiks
ilek	ilek
ilizibet	ilizibet
iloschrieshan	ilostʃɹɪɛʃan
im	im
impak	impak
impruuv	impɹuːv
impuotant	impuɔtant
imuoshan	imuɔʃan
in	in
ina	ina
inaamos	inaːmos
inabit	inhabit
indiiz	indiːz
indipendans	indipendans
indischroktebl	indistʃɹoktebl̩
indoschri	indostʃɹi
indoschrial	indostʃɹial
indoschrializieshan	indostʃɹializɪɛʃan
infamieshan	infamɪɛʃan
influens	influens
inggiej	iŋgɪɛdʒ
ingglan	iŋglan
ingkluudn	iŋkluːdn̩
ingkorij	iŋkoɹidʒ
iniebl	inɪɛbl̩
injai	indʒaɪ
injinierin	indʒinɪɛɹin
inkluud	inkluːd
inkriis	inkɹiːs
inruol	inɹuɔl
insaiklopiidya	insaɪklopiːdja
inspaya	inspaya
intaikl	intaɪkl̩
intanashinal	intanaʃinal
intanet	intanet
intatiena	intatɪɛna
invalv	invalv
inviejan	invɪɛdʒan
ischri	istʃɹi
iself	ɪself
ishu	iʃhu
istuorian	istuɔɹian
it	it
itali	itali
ivalv	ivalv
ivenchuali	iventʃuali
ivent	ivent
jaagrafi	dʒaːgɹafi
jaagrofi	dʒaːgɹofi
jaaj	dʒaːdʒ
jaaloji	dʒaːlodʒi
jain	dʒaɪn
jainop	dʒaɪnop
jakfruut	dʒakfɹuːt
jaloji	dʒalodʒi
jan	dʒan
jangkro	dʒaŋkɹo
janiweri	dʒaniweɹi
japan	dʒapan
jeli	dʒeli
jeliduo	dʒeliduɔ
jiel	dʒɪɛl
jiemz	dʒɪɛmz
jien	dʒɪɛn
jinaral	dʒinaɹal
jinarasiti	dʒinaɹasiti
jinarieshan	dʒinaɹɪɛʃan
jinja	dʒindʒa
joj	dʒodʒ
jomp	dʒomp
jomp-up	dʒompop
jonjo	dʒondʒo
jork	dʒoɹk
jormani	joɹmani
jornal	dʒoɹnal
jostis	dʒostis
jraa	dʒɹaː
jraadong	dʒɹaːdoŋ
jraaf	dʒɹaːf
jraafut	dʒɹaːfut
jraaz	dʒɹaːz
jragan	dʒɹagan
jrai	dʒɹaɪ
jramatik	dʒɹamatik
jrap	dʒɹap
jred	dʒɹed
jres	dʒɹes
jresbak	dʒɹesbak
jresdong	dʒɹesdoŋ
jriepop	dʒɹɪɛpop
jringk	dʒɹiŋk
jrog	dʒɹog
jrom	dʒɹom
juk	dʒuk
juki-juki	dʒukidʒuki
julai	dʒulaɪ
jumieka	dʒumɪɛka
jumieka	jumɪɛka
junjo	dʒundʒo
juo	dʒuɔ
juok	dʒuɔk
juu	dʒuː
juun	dʒuːn
juurin	dʒuːɹin
juus	dʒuːs
kaa	kaː
kaal	kaːl
kaali	kaːli
kaan	kaːn
kaanful	kaːnful
kaanwal	kaːnwal
kaaz	kaːz
kaazn	kaːzn̩
kach	katʃ
kain	kaɪn
kait	kaɪt
kak	kak
kala	kala
kalalu	kalalu
kalani	kalani
kalanis	kalanis
kalek	kalek
kalekshan	kalekʃan
kalij	kalɪdʒ
kaman	kaman
kamedi	kamedi
kanchosnis	kantʃosnis
kanchrak	kantʃɹak
kanchuol	kantʃuɔl
kanekshan	kanekʃan
kanschrokshan	kanstʃɹokʃan
kansda	kansda
kantent	kantent
kantinyu	kantiɲu
kanvasieshan	kanvasɪɛʃan
karambuola	kaɹambuɔla
kasaada	kasaːda
kasaava	kasaːva
kasta	kasta
katn	katn̩
kazmopalitan	kazmopalitan
kech	ketʃ
kechop	ketʃop
kelyan	keljan
kenet	kenet
kiachrin	kjatʃɹin
kianada	kjanada
kiaribiyan	kjaɹibijan
kidni	kidni
kiedens	kɪɛdens
kieful	kɪɛful
kiek	kɪɛk
kien	kien
kien	kɪɛn
kier	kɪɛɹ
kies	kɪɛs
kiet	kɪɛt
kilomita	kilomita
kimischri	kimistʃɹi
kin	kin
kindom	kindom
kinston	kinston
kisaada	kisaːda
kits	kits
kja	kja
kja	umotʃ
klaat	klaːt
klaax	klaːks
klarindan	klaɹindan
klasikal	klasikal
klie	klɪɛ
kliem	klɪɛm
klier	klɪɛɹ
kliermont	klɪɛɹmont
klifod	klifod
kliin	kliːn
kola	kola
kolcha	koltʃa
kom	kom
komiunikieshan	komjunikɪɛʃan
kompail	kompaɪl
kompyuuta	kompjuːta
konchri	kontʃɹi
kongk	koŋk
koni	koni
korant	koɹant
